,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
27616,,,,,,,,,,,,,,,,Billy J. Kramer,"['Billy J. Kramer', 'The Dakotas']",Little Children
27619,[],,,,,,,,,,,,,,,Alvin Robinson,['Alvin Robinson'],Something You Got
27621,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",,,,,,,,,,,,,,,Jack Jones,['Jack Jones'],The First Night Of The Full Moon
27622,,,,,,,,,,,,,,,,Robert Maxwell His Harp,"['Robert Maxwell His Harp', 'Orchestra']",Peg O' My Heart
27626,,,,,,,,,,,,,,,,Herb Alpert's Tijuana Brass,"[""Herb Alpert's Tijuana Brass""]",The Mexican Shuffle
27627,[],,,,,,,,,,,,,,,Henry Mancini,"['Henry Mancini', 'His Orchestra']",A Shot In The Dark
27628,['easy listening'],,,,,,,,,,,,,,,The Ray Charles Singers,['The Ray Charles Singers'],Love Me With All Your Heart (Cuando Calienta El Sol)
27633,"['adult standards', 'brill building pop']",,,,,,,,,,,,,,,Brenda Lee,['Brenda Lee'],Alone With You
27634,[],,,,,,,,,,,,,,,Round Robin,['Round Robin'],Kick That Little Foot Sally Ann
27639,,,,,,,,,,,,,,,,Bobby Shafto,['Bobby Shafto'],She's My Girl
27645,[],,,,,,,,,,,,,,,Louis Armstrong,"['Louis Armstrong', 'The All Stars']","Hello, Dolly!"
27652,['merseybeat'],,,,,,,,,,,,,,,Danny Williams,['Danny Williams'],A Little Toy Balloon
27654,"['a cappella', 'viral pop']",,,,,,,,,,,,,,,Peter,"['Peter', ' Paul', 'Mary']","Oh, Rock My Soul (Part I)"
27657,[],,,,,,,,,,,,,,,The Ska Kings,['The Ska Kings'],Jamaica Ska
27662,,,,,,,,,,,,,,,,Ray Charles and his Orchestra,['Ray Charles and his Orchestra'],My Baby Don't Dig Me
27663,"['canadian country', 'nederpop']",,,,,,,,,,,,,,,Lucille Starr,['Lucille Starr'],The French Song
27664,['deep adult standards'],,,,,,,,,,,,,,,Anita Bryant,['Anita Bryant'],The World Of Lonely People
27667,"['brill building pop', 'classic girl group']",,,,,,,,,,,,,,,The Paris Sisters,['The Paris Sisters'],Dream Lover
27669,,,,,,,,,,,,,,,,The Hollyridge Strings,['The Hollyridge Strings'],All My Loving
27672,,,,,,,,,,,,,,,,James Brown,"['James Brown', 'His Orchestra']",The Things That I Used To Do
27674,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jubilee Four', 'Carole Lombard Quartet']",What'd I Say
27682,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",,,,,,,,,,,,,,,Steve Lawrence,['Steve Lawrence'],Everybody Knows
27685,,,,,,,,,,,,,,,,Die Beatles,['Die Beatles'],Sie Liebt Dich (She Loves You)
27690,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",Viva Las Vegas
27698,,,,,,,,,,,,,,,,The Four-Evers,['The Four-Evers'],Be My Girl
27700,"['adult standards', 'brill building pop']",,,,,,,,,,,,,,,Brenda Lee,['Brenda Lee'],My Dreams
27706,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",,,,,,,,,,,,,,,Andy Williams,['Andy Williams'],Wrong For Each Other
27709,[],,,,,,,,,,,,,,,Tracey Dey,['Tracey Dey'],Gonna' Get Along Without You Now
27710,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",,,,,,,,,,,,,,,The Dave Clark Five,['The Dave Clark Five'],I Knew It All The Time
27719,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],The Very Thought Of You
27720,,,,,,,,,,,,,,,,Robert Maxwell His Harp,"['Robert Maxwell His Harp', 'Orchestra']",Shangri-La
27721,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",Kiss Me Quick
27729,['deep adult standards'],,,,,,,,,,,,,,,Vic Dana,['Vic Dana'],Shangri-La
27733,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",,,,,,,,,,,,,,,Tommy Roe,['Tommy Roe'],Carol
27736,[],,,,,,,,,,,,,,,Christine Quaite,['Christine Quaite'],Tell Me Mamma
27738,,,,,,,,,,,,,,,,Lenny O'Henry,"[""Lenny O'Henry""]",Across The Street
27741,"['chicago soul', 'northern soul']",,,,,,,,,,,,,,,The Vibrations,['The Vibrations'],My Girl Sloopy
27743,[],,,,,,,,,,,,,,,Henry Mancini,"['Henry Mancini', 'His Orchestra']",The Pink Panther Theme
27748,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",,,,,,,,,,,,,,,Etta James,['Etta James'],Loving You More Every Day
27749,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']",,,,,,,,,,,,,,,Jimmy Smith,['Jimmy Smith'],Who's Afraid Of Virginia Woolf? (Part I)
27751,[],,,,,,,,,,,,,,,Tommy Tucker,['Tommy Tucker'],Long Tall Shorty
27755,[],,,,,,,,,,,,,,,Sammy Kaye,"['Sammy Kaye', 'His Orchestra']",Charade
27759,['steel guitar'],,,,,,,,,,,,,,,Pete Drake,"['Pete Drake', 'His Talking Steel Guitar']",Forever
27760,"['rhythm and blues', 'soul', 'southern soul']",,,,,,,,,,,,,,,Sugar Pie DeSanto,['Sugar Pie DeSanto'],Slip-In Mules (No High Heel Sneakers)
27762,[],,,,,,,,,,,,,,,The Monarchs,['The Monarchs'],Look Homeward Angel
27774,,,,,,,,,,,,,,,,Anna King-Bobby Byrd,['Anna King-Bobby Byrd'],Baby Baby Baby
27777,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']",,,,,,,,,,,,,,,Gene Chandler,['Gene Chandler'],Soul Hootenanny (Pt. I)
27778,,,,,,,,,,,,,,,,James Brown,"['James Brown', 'His Orchestra']",Caldonia
27780,"['adult standards', 'easy listening', 'lounge']",,,,,,,,,,,,,,,Wayne Newton,['Wayne Newton'],The Little White Cloud That Cried
27783,"['adult standards', 'brill building pop']",,,,,,,,,,,,,,,Brenda Lee,['Brenda Lee'],Think
27789,[],,,,,,,,,,,,,,,The Womenfolk,['The Womenfolk'],Little Boxes
27791,['southern soul'],,,,,,,,,,,,,,,Freddie Scott,['Freddie Scott'],Where Does Love Go
27800,[],,,,,,,,,,,,,,,Jimmy Gilmer,"['Jimmy Gilmer', 'The Fireballs']",Ain't Gonna Tell Anybody
27802,,,,,,,,,,,,,,,,Little Stevie Wonder,['Little Stevie Wonder'],Castles In The Sand
27803,['brill building pop'],,,,,,,,,,,,,,,The Raindrops,['The Raindrops'],Book Of Love
27805,,,,,,,,,,,,,,,,Herb Alpert's Tijuana Brass,"[""Herb Alpert's Tijuana Brass""]",Mexican Drummer Man
27806,['vocal jazz'],,,,,,,,,,,,,,,Gloria Lynne,['Gloria Lynne'],Be Anything (But Be Mine)
27810,[],,,,,,,,,,,,,,,Tommy Tucker,['Tommy Tucker'],Hi-Heel Sneakers
27812,,,,,,,,,,,,,,,,Al (He's the King) Hirt,"[""Al (He's the King) Hirt""]",Java
27813,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",Kissin' Cousins
27814,,,,,,,,,,,,,,,,The Carefrees,['The Carefrees'],We Love You Beatles
27819,,,,,,,,,,,,,,,,The Beatles,"['The Beatles', 'Tony Sheridan']",Why
27820,['surf music'],,,,,,,,,,,,,,,The Marketts,['The Marketts'],Vanishing Point
27823,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",It Hurts Me
27828,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",,,,,,,,,,,,,,,Ray Charles,['Ray Charles'],My Heart Cries For You
27830,,,,,,,,,,,,,,,,Bobby Vee,"['Bobby Vee', 'The Eligibles']",I'll Make You Mine
27831,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],Congratulations
27833,"['adult standards', 'brill building pop', 'classic girl group', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",,,,,,,,,,,,,,,The Shirelles,['The Shirelles'],Sha-La-La
27841,,,,,,,,,,,,,,,,Ray Charles and his Orchestra,['Ray Charles and his Orchestra'],"Baby, Don't You Cry (The New Swingova Rhythm)"
27848,[],,,,,,,,,,,,,,,Justine Washington,['Justine Washington'],I Can't Wait Until I See My Baby
27849,[],,,,,,,,,,,,,,,B.B. King,"['B.B. King', 'His Orchestra']",How Blue Can You Get
27854,"['motown', 'soul']",,,,,,,,,,,,,,,James Brown,"['James Brown', 'The Famous Flames']",Oh Baby Don't You Weep (Part 1)
27862,['adult standards'],,,,,,,,,,,,,,,Nat King Cole,['Nat King Cole'],"My True Carrie, Love"
27870,,,,,,,,,,,,,,,,The Beatles,"['The Beatles', 'Tony Sheridan']",My Bonnie (My Bonnie Lies Over The Ocean)
27876,[],,,,,,,,,,,,,,,Donna Lynn,['Donna Lynn'],My Boyfriend Got A Beatle Haircut
27879,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",,,,,,,,,,,,,,,Fats Domino,['Fats Domino'],Lazy Lady
27880,[],,,,,,,,,,,,,,,Lawrence Welk,"['Lawrence Welk', 'His Orchestra']",Stockholm
27893,['northern soul'],,,,,,,,,,,,,,,Tony Clarke,['Tony Clarke'],"(The Story Of) Woman, Love And A Man (Part 1)"
27894,['rock-and-roll'],,,,,,,,,,,,,,,Bruce Channel,['Bruce Channel'],Going Back To Louisiana
27895,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],For You
27896,,,,,,,,,,,,,,,,The Dixiebelles,['The Dixiebelles'],"Southtown, U.S.A."
27898,['vintage swoon'],,,,,,,,,,,,,,,Dale Ward,['Dale Ward'],Letter From Sherry
27901,[],,,,,,,,,,,,,,,Timmy Shaw,['Timmy Shaw'],Gonna Send You Back To Georgia (A City Slick)
27906,,,,,,,,,,,,,,,,Dick and DeeDee,['Dick and DeeDee'],All My Trials
27908,"['classic soul', 'funk', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul']",,,,,,,,,,,,,,,Booker T.,"['Booker T.', ""The MG's""]",Mo-Onions
27914,['space age pop'],,,,,,,,,,,,,,,Santo,"['Santo', 'Johnny']",I'll Remember (In The Still Of The Night)
27920,[],,,,,,,,,,,,,,,The Crescents,"['The Crescents', 'Chiyo']",Pink Dominos
27922,['brill building pop'],,,,,,,,,,,,,,,The Caravelles,['The Caravelles'],Have You Ever Been Lonely (Have You Ever Been Blue)
27925,[],,,,,,,,,,,,,,,Jimmy Gilmer,"['Jimmy Gilmer', 'The Fireballs']",Daisy Petal Pickin'
27929,,,,,,,,,,,,,,,,Patti LaBelle,"['Patti LaBelle', 'The Blue Belles']",You'll Never Walk Alone
27941,[],,,,,,,,,,,,,,,The Baja Marimba Band,['The Baja Marimba Band'],Comin' In The Back Door
27945,,,,,,,,,,,,,,,,The Crampton Sisters,['The Crampton Sisters'],I Didn't Know What Time It Was
27946,['brill building pop'],,,,,,,,,,,,,,,Little Peggy March,['Little Peggy March'],(I'm Watching) Every Little Move You Make
27950,[],,,,,,,,,,,,,,,Little Jr. Parker,['Little Jr. Parker'],Strange Things Happening
27957,[],,,,,,,,,,,,,,,Ginny Arnell,['Ginny Arnell'],Dumb Head
27964,['soul blues'],,,,,,,,,,,,,,,Little Johnny Taylor,['Little Johnny Taylor'],Since I Found A New Love
27966,,,,,,,,,,,,,,,,The Singing Nun (Soeur Sourire),['The Singing Nun (Soeur Sourire)'],Dominique
27969,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",,,,,,,,,,,,,,,Ray Charles,['Ray Charles'],That Lucky Old Sun
27974,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",,,,,,,,,,,,,,,Fats Domino,['Fats Domino'],Who Cares
27979,,,,,,,,,,,,,,,,Dion Di Muci,['Dion Di Muci'],Drip Drop
27984,,,,,,,,,,,,,,,,The Chad Mitchell Trio,['The Chad Mitchell Trio'],The Marvelous Toy
27985,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],Today's Teardrops
27987,"['brill building pop', 'classic girl group', 'motown', 'northern soul']",,,,,,,,,,,,,,,The Exciters,['The Exciters'],Do-Wah-Diddy
27991,['deep adult standards'],,,,,,,,,,,,,,,Johnny Crawford,['Johnny Crawford'],Judy Loves Me
27992,,,,,,,,,,,,,,,,Jim and Monica,['Jim and Monica'],Slipin' And Slidin'
27994,['brill building pop'],,,,,,,,,,,,,,,Linda Scott,['Linda Scott'],Who's Been Sleeping In My Bed?
27997,,,,,,,,,,,,,,,,Dick and DeeDee,['Dick and DeeDee'],Turn Around
28000,"['brill building pop', 'classic girl group', 'doo-wop', 'rhythm and blues']",,,,,,,,,,,,,,,The Orlons,['The Orlons'],Bon-Doo-Wah
28002,['brill building pop'],,,,,,,,,,,,,,,The Raindrops,['The Raindrops'],That Boy John
28003,"['adult standards', 'brill building pop', 'classic australian country', 'classic uk pop', 'merseybeat', 'rock-and-roll', 'yodeling']",,,,,,,,,,,,,,,Frank Ifield,['Frank Ifield'],Please
28013,['deep motown'],,,,,,,,,,,,,,,Paul Petersen,['Paul Petersen'],The Cheer Leader
28016,"['belgian pop', 'classic belgian pop']",,,,,,,,,,,,,,,Gene Thomas,['Gene Thomas'],Baby's Gone
28024,"['acid jazz', 'afrobeat', 'afropop', 'electronica', 'funk', 'indie jazz', 'indie soul', 'nu jazz', 'soul']",,,,,,,,,,,,,,,The Dynamics,['The Dynamics'],Misery
28028,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'vocal harmony group']",,,,,,,,,,,,,,,The Lettermen,['The Lettermen'],Where Or When
28035,['brill building pop'],,,,,,,,,,,,,,,Little Peggy March,['Little Peggy March'],The Impossible Happened
28036,,,,,,,,,,,,,,,,The David Rockingham Trio,['The David Rockingham Trio'],Dawn
28038,"['adult standards', 'american folk revival', 'brill building pop', 'easy listening', 'folk', 'traditional folk', 'vocal harmony group']",,,,,,,,,,,,,,,The Brothers Four,['The Brothers Four'],Hootenanny Saturday Night
28039,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",,,,,,,,,,,,,,,Paul Anka,['Paul Anka'],Did You Have A Happy Birthday?
28047,,,,,,,,,,,,,,,,The Dixiebelles,['The Dixiebelles'],(Down At) Papa Joe's
28048,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",Bossa Nova Baby
28049,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'merseybeat', 'rock-and-roll', 'rockabilly']",,,,,,,,,,,,,,,Bobby Vee,['Bobby Vee'],Yesterday And You (Armen's Theme)
28051,[],,,,,,,,,,,,,,,Steve Alaimo,['Steve Alaimo'],Gotta Lotta Love
28055,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",,,,,,,,,,,,,,,Steve Lawrence,['Steve Lawrence'],Walking Proud
28056,"['e6fi', 'twee pop']",,,,,,,,,,,,,,,The Essex,"['The Essex', 'Anita Humes']",She's Got Everything
28057,['southern soul'],,,,,,,,,,,,,,,Freddie Scott,['Freddie Scott'],I Got A Woman
28058,['rhythm and blues'],,,,,,,,,,,,,,,Ruby,"['Ruby', 'The Romantics']",Young Wings Can Fly (Higher Than You Know)
28061,[],,,,,,,,,,,,,,,The Allisons,['The Allisons'],Surfer Street
28063,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],Fools Rush In
28064,,,,,,,,,,,,,,,,Patti LaBelle,"['Patti LaBelle', 'The Blue Belles']",Down The Aisle (Wedding Song)
28067,,,,,,,,,,,,,,,,Wayne Newton,"['Wayne Newton', 'The Newton Brothers']",Shirl Girl
28068,['northern soul'],,,,,,,,,,,,,,,Tommy Hunt,['Tommy Hunt'],I Am A Witness
28069,['northern soul'],,,,,,,,,,,,,,,Lou Johnson,['Lou Johnson'],Reach Out For Me
28072,[],,,,,,,,,,,,,,,Inez Foxx,['Inez Foxx'],Hi Diddle Diddle
28073,,,,,,,,,,,,,,,,Debbie Dovale,['Debbie Dovale'],Hey Lover
28080,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",Witchcraft
28082,[],,,,,,,,,,,,,,,Jack Nitzsche,['Jack Nitzsche'],Rumble
28086,,,,,,,,,,,,,,,,Ray Charles and his Orchestra,['Ray Charles and his Orchestra'],Busted
28090,,,,,,,,,,,,,,,,Dion (Di Muci),['Dion (Di Muci)'],Donna The Prima Donna
28096,"['adult standards', 'brill building pop']",,,,,,,,,,,,,,,Timi Yuro,['Timi Yuro'],Gotta Travel On
28098,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']",,,,,,,,,,,,,,,Johnny Mathis,['Johnny Mathis'],Your Teenage Dreams
28099,"['appalachian folk', 'country rock', 'folk', 'old-time', 'traditional country', 'traditional folk', 'yodeling']",,,,,,,,,,,,,,,Jimmie Rodgers,['Jimmie Rodgers'],"Two-Ten, Six-Eighteen (Doesn't Anybody Know My Name)"
28100,,,,,,,,,,,,,,,,Steve Allen and His Orchestra with The Copacabana Trio,['Steve Allen and His Orchestra with The Copacabana Trio'],Cuando Calienta El Sol (When The Sun Is Hot)
28101,[],,,,,,,,,,,,,,,The Charmettes,['The Charmettes'],Please Don't Kiss Me Again
28108,[],,,,,,,,,,,,,,,Richard Chamberlain,['Richard Chamberlain'],Blue Guitar
28113,"['brill building pop', 'doo-wop', 'rhythm and blues']",,,,,,,,,,,,,,,The Dovells,['The Dovells'],Stop Monkeyin' Aroun'
28115,,,,,,,,,,,,,,,,Little Stevie Wonder,['Little Stevie Wonder'],"Workout Stevie, Workout"
28118,[],,,,,,,,,,,,,,,Bill Black's Combo,"[""Bill Black's Combo""]",Monkey-Shine
28124,,,,,,,,,,,,,,,,Morty Jay,"['Morty Jay', ""The Surferin' Cats""]",Saltwater Taffy
28131,['brill building pop'],,,,,,,,,,,,,,,Little Peggy March,['Little Peggy March'],"Hello Heartache, Goodbye Love"
28133,[],,,,,,,,,,,,,,,Donald Jenkins,"['Donald Jenkins', 'The Delighters']",(Native Girl) Elephant Walk
28137,"['adult standards', 'bolero']",,,,,,,,,,,,,,,Eydie Gorme,['Eydie Gorme'],Everybody Go Home
28145,"['e6fi', 'twee pop']",,,,,,,,,,,,,,,The Essex,"['The Essex', 'Anita Humes']",A Walkin' Miracle
28151,,,,,,,,,,,,,,,,Alice Wonder Land,['Alice Wonder Land'],"He's Mine (I Love Him, I Love Him, I Love Him)"
28152,"['adult standards', 'brill building pop']",,,,,,,,,,,,,,,Brenda Lee,['Brenda Lee'],Sweet Impossible You
28153,[],,,,,,,,,,,,,,,Joe Perkins,['Joe Perkins'],Little Eeefin Annie
28155,,113.466,False,0.4239999999999999,0.86,0.0,-8.654,1.0,0.108,0.5769999999999998,0.0,0.699,0.692,133.421,10.0,Dick Dale and The Del-Tones,['Dick Dale and The Del-Tones'],The Scavenger
28159,,,,,,,,,,,,,,,,Inez Foxx with Charlie Foxx,['Inez Foxx with Charlie Foxx'],Mockingbird
28163,"['adult standards', 'brill building pop', 'classic australian country', 'classic uk pop', 'merseybeat', 'rock-and-roll', 'yodeling']",,,,,,,,,,,,,,,Frank Ifield,['Frank Ifield'],I'm Confessin' (That I Love You)
28164,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",,,,,,,,,,,,,,,Jackie Wilson,['Jackie Wilson'],Baby Get It (And Don't Quit It)
28166,['deep adult standards'],,,,,,,,,,,,,,,Johnny Crawford,['Johnny Crawford'],Cindy's Gonna Cry
28175,[],,,,,,,,,,,,,,,Joe Sherman,"['Joe Sherman', ' his Orchestra and Chorus']",Toys In The Attic
28176,[],,,,,,,,,,,,,,,Tracey Dey,['Tracey Dey'],Teenage Cleopatra
28178,[],,,,,,,,,,,,,,,Ben Colder,['Ben Colder'],Detroit City No. 2
28180,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']",,,,,,,,,,,,,,,The O'Jays,"[""The O'Jays""]",Lonely Drifter
28181,"['beach music', 'rhythm and blues', 'southern soul']",,,,,,,,,,,,,,,Baby Washington,['Baby Washington'],Hey Lonely One
28191,,,,,,,,,,,,,,,,Dick and DeeDee,['Dick and DeeDee'],Where Did The Good Times Go
28194,[],,,,,,,,,,,,,,,Steve Alaimo,['Steve Alaimo'],Michael - Pt. 1
28195,,,,,,,,,,,,,,,,Diane Ray,['Diane Ray'],Please Don't Talk To The Lifeguard
28200,,,,,,,,,,,,,,,,Wayne Newton,"['Wayne Newton', 'The Newton Brothers']",Danke Schoen
28203,,,,,,,,,,,,,,,,Little Stevie Wonder,['Little Stevie Wonder'],Fingertips - Pt 2
28204,['enka'],,,,,,,,,,,,,,,Kyu Sakamoto,['Kyu Sakamoto'],China Nights (Shina No Yoru)
28209,['novelty'],,,,,,,,,,,,,,,Rolf Harris,['Rolf Harris'],Nick Teen And Al K. Hall
28211,,,,,,,,,,,,,,,,The High Keyes,['The High Keyes'],"Que Sera, Sera (Whatever Will Be, Will Be)"
28213,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",,,,,,,,,,,,,,,Connie Francis,['Connie Francis'],Drownin' My Sorrows
28217,[],,,,,,,,,,,,,,,Gene McDaniels,['Gene McDaniels'],It's A Lonely Town (Lonely Without You)
28224,[],,,,,,,,,,,,,,,Bobby Comstock,"['Bobby Comstock', 'The Counts']",Your Boyfriend's Back
28229,[],,,,,,,,,,,,,,,Andrea Carroll,['Andrea Carroll'],It Hurts To Be Sixteen
28235,,,,,,,,,,,,,,,,Elvis Presley,"['Elvis Presley', 'The Jordanaires']",(You're the) Devil In Disguise
28243,"['hammond organ', 'jazz organ']",,,,,,,,,,,,,,,"Dave ""Baby"" Cortez","['Dave ""Baby"" Cortez']",Organ Shout
28260,"['motown', 'soul']",,,,,,,,,,,,,,,James Brown,"['James Brown', 'The Famous Flames']",These Foolish Things
28267,[],,,,,,,,,,,,,,,The King Pins,['The King Pins'],It Won't Be This Way (Always)
28269,,,,,,,,,,,,,,,,The Dartells,['The Dartells'],"Dance, Everybody, Dance"
28282,[],,,,,,,,,,,,,,,Tammy Montgomery,['Tammy Montgomery'],I Cried
28288,[],,,,,,,,,,,,,,,The Glencoves,['The Glencoves'],Hootenanny
28296,[],,,,,,,,,,,,,,,Ben Colder,['Ben Colder'],Still No. 2
28298,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",,,,,,,,,,,,,,,Ray Charles,['Ray Charles'],Without Love (There Is Nothing)
28304,"['brill building pop', 'classic girl group', 'sunshine pop']",,,,,,,,,,,,,,,The Cookies,['The Cookies'],Will Power
28306,['australian talent show'],,,,,,,,,,,,,,,Joey Dee,['Joey Dee'],"Dance, Dance, Dance"
28309,,,,,,,,,,,,,,,,Tom Glazer,"['Tom Glazer', ""The Do-Re-Mi Children's Chorus""]",On Top Of Spaghetti
28311,,,,,,,,,,,,,,,,Big Dee Irwin (with Little Eva),['Big Dee Irwin (with Little Eva)'],Swinging On A Star
28312,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",,,,,,,,,,,,,,,Perry Como,['Perry Como'],(I Love You) Don't You Forget It
28314,['adult standards'],,,,,,,,,,,,,,,Nat King Cole,['Nat King Cole'],Those Lazy-Hazy-Crazy Days Of Summer
28316,[],,,,,,,,,,,,,,,Kirby St. Romain,['Kirby St. Romain'],Summer's Comin'
28318,"['adult standards', 'easy listening', 'exotica', 'lounge']",,,,,,,,,,,,,,,Ferrante,"['Ferrante', 'Teicher']",Antony And Cleopatra Theme
28325,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],String Along
28335,,,,,,,,,,,,,,,,Chris Columbo Quintet,['Chris Columbo Quintet'],Summertime
28336,['brill building pop'],,,,,,,,,,,,,,,Little Peggy March,['Little Peggy March'],I Wish I Were A Princess
28341,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",,,,,,,,,,,,,,,Steve Lawrence,['Steve Lawrence'],Poor Little Rich Girl
28342,['brill building pop'],,,,,,,,,,,,,,,Bob B. Soxx,"['Bob B. Soxx', 'The Blue Jeans']",Not Too Young To Get Married
28343,"['adult standards', 'bolero']",,,,,,,,,,,,,,,Eydie Gorme,['Eydie Gorme'],"Don't Try To Fight It, Baby"
28344,,,,,,,,,,,,,,,,Rick Nelson,['Rick Nelson'],Gypsy Woman
28346,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']",,,,,,,,,,,,,,,Chuck Jackson,['Chuck Jackson'],Tears Of Joy
28350,[],,,,,,,,,,,,,,,James MacArthur,['James MacArthur'],The Ten Commandments Of Love
28354,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",,,,,,,,,,,,,,,Jackie Wilson,"['Jackie Wilson', 'Linda Hopkins']",Shake A Hand
28355,"['brill building pop', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll']",,,,,,,,,,,,,,,Little Eva,['Little Eva'],Old Smokey Locomotion
28357,"['adult standards', 'brill building pop', 'merseybeat', 'rock-and-roll']",,,,,,,,,,,,,,,Ray Peterson,['Ray Peterson'],Give Us Your Blessing
28359,[],,,,,,,,,,,,,,,Lawrence Welk,"['Lawrence Welk', 'His Orchestra']",Scarlett O'Hara
28365,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",,,,,,,,,,,,,,,Fats Domino,['Fats Domino'],There Goes (My Heart Again)
28366,[],,,,,,,,,,,,,,,Matt Lucas,['Matt Lucas'],I'm Movin' On
28369,"['halloween', 'novelty']",,,,,,,,,,,,,,,Bobby Pickett,['Bobby Pickett'],Graduation Day
28370,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",,,,,,,,,,,,,,,Paul Anka,['Paul Anka'],Hello Jim
28373,,,,,,,,,,,,,,,,The Dartells,['The Dartells'],Hot Pastrami
28382,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']",,,,,,,,,,,,,,,Frankie Laine,['Frankie Laine'],Don't Make My Baby Blue
28383,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']",,,,,,,,,,,,,,,The 4 Seasons,"['The 4 Seasons', 'Frankie Valli']",Soon (I'll Be Home Again)
28384,,,,,,,,,,,,,,,,Mongo Santamaria Orch.,['Mongo Santamaria Orch.'],Yeh-Yeh!
28385,[],,,,,,,,,,,,,,,Henry Mancini,"['Henry Mancini', 'His Orchestra']",Banzai Pipeline
28386,[],,,,,,,,,,,,,,,Lawrence Welk,"['Lawrence Welk', 'His Orchestra']",Breakwater
